Strategy,Vehicles count,"Cost (0.5, 0.5)"
GTA-V,250,3.55
GTA-V,250,3.58
GTA-V,250,3.55
GTA-V,250,3.56
GTA-V,250,3.54
GTA-V,250,3.55
GTA-V,250,3.55
GTA-V,250,3.53
GTA-V,250,3.54
GTA-V,250,3.55
DECO,250,2.59
DECO,250,2.59
DECO,250,2.59
DECO,250,2.59
DECO,250,2.59
DECO,250,2.59
DECO,250,2.59
DECO,250,2.59
DECO,250,2.59
DECO,250,2.59
Local,250,5.89
Local,250,5.9
Local,250,5.89
Local,250,5.89
Local,250,5.9
Local,250,5.9
Local,250,5.9
Local,250,5.91
Local,250,5.91
Local,250,5.91
Random,250,4.85
Random,250,4.87
Random,250,4.9
Random,250,4.94
Random,250,4.92
Random,250,4.86
Random,250,4.88
Random,250,4.9
Random,250,4.97
Random,250,4.84
Greedy,250,2.59
Greedy,250,2.59
Greedy,250,2.59
Greedy,250,2.59
Greedy,250,2.59
Greedy,250,2.59
Greedy,250,2.59
Greedy,250,2.59
Greedy,250,2.59
Greedy,250,2.59
GTA-V,500,3.85
GTA-V,500,3.84
GTA-V,500,3.86
GTA-V,500,3.85
GTA-V,500,3.85
GTA-V,500,3.86
GTA-V,500,3.85
GTA-V,500,3.86
GTA-V,500,3.86
GTA-V,500,3.85
DECO,500,2.65
DECO,500,2.65
DECO,500,2.65
DECO,500,2.65
DECO,500,2.65
DECO,500,2.65
DECO,500,2.65
DECO,500,2.65
DECO,500,2.65
DECO,500,2.65
Local,500,6.27
Local,500,6.27
Local,500,6.27
Local,500,6.27
Local,500,6.27
Local,500,6.27
Local,500,6.28
Local,500,6.27
Local,500,6.27
Local,500,6.27
Random,500,5.16
Random,500,5.2
Random,500,5.19
Random,500,5.15
Random,500,5.2
Random,500,5.18
Random,500,5.15
Random,500,5.22
Random,500,5.15
Random,500,5.18
Greedy,500,2.65
Greedy,500,2.65
Greedy,500,2.65
Greedy,500,2.65
Greedy,500,2.65
Greedy,500,2.65
Greedy,500,2.65
Greedy,500,2.65
Greedy,500,2.65
Greedy,500,2.65
GTA-V,750,4.04
GTA-V,750,4.03
GTA-V,750,4.02
GTA-V,750,4
GTA-V,750,4.02
GTA-V,750,4.02
GTA-V,750,4.04
GTA-V,750,4.05
GTA-V,750,4.04
GTA-V,750,4.03
DECO,750,2.71
DECO,750,2.71
DECO,750,2.71
DECO,750,2.71
DECO,750,2.71
DECO,750,2.71
DECO,750,2.71
DECO,750,2.71
DECO,750,2.71
DECO,750,2.71
Local,750,6.51
Local,750,6.51
Local,750,6.5
Local,750,6.51
Local,750,6.51
Local,750,6.51
Local,750,6.51
Local,750,6.51
Local,750,6.51
Local,750,6.51
Random,750,5.34
Random,750,5.31
Random,750,5.35
Random,750,5.33
Random,750,5.34
Random,750,5.35
Random,750,5.33
Random,750,5.34
Random,750,5.34
Random,750,5.3
Greedy,750,2.71
Greedy,750,2.71
Greedy,750,2.71
Greedy,750,2.71
Greedy,750,2.71
Greedy,750,2.71
Greedy,750,2.71
Greedy,750,2.71
Greedy,750,2.71
Greedy,750,2.71
GTA-V,1000,4.16
GTA-V,1000,4.17
GTA-V,1000,4.13
GTA-V,1000,4.14
GTA-V,1000,4.16
GTA-V,1000,4.16
GTA-V,1000,4.16
GTA-V,1000,4.14
GTA-V,1000,4.17
GTA-V,1000,4.15
DECO,1000,2.76
DECO,1000,2.76
DECO,1000,2.76
DECO,1000,2.76
DECO,1000,2.76
DECO,1000,2.76
DECO,1000,2.76
DECO,1000,2.76
DECO,1000,2.76
DECO,1000,2.76
Local,1000,6.68
Local,1000,6.68
Local,1000,6.68
Local,1000,6.68
Local,1000,6.68
Local,1000,6.69
Local,1000,6.69
Local,1000,6.69
Local,1000,6.68
Local,1000,6.68
Random,1000,5.41
Random,1000,5.46
Random,1000,5.46
Random,1000,5.46
Random,1000,5.44
Random,1000,5.45
Random,1000,5.48
Random,1000,5.43
Random,1000,5.49
Random,1000,5.49
Greedy,1000,2.76
Greedy,1000,2.76
Greedy,1000,2.76
Greedy,1000,2.76
Greedy,1000,2.76
Greedy,1000,2.76
Greedy,1000,2.76
Greedy,1000,2.76
Greedy,1000,2.76
Greedy,1000,2.76
GTA-V,1250,4.26
GTA-V,1250,4.26
GTA-V,1250,4.24
GTA-V,1250,4.26
GTA-V,1250,4.26
GTA-V,1250,4.26
GTA-V,1250,4.24
GTA-V,1250,4.25
GTA-V,1250,4.26
GTA-V,1250,4.25
DECO,1250,2.81
DECO,1250,2.81
DECO,1250,2.81
DECO,1250,2.81
DECO,1250,2.81
DECO,1250,2.81
DECO,1250,2.81
DECO,1250,2.81
DECO,1250,2.81
DECO,1250,2.81
Local,1250,6.82
Local,1250,6.83
Local,1250,6.83
Local,1250,6.83
Local,1250,6.83
Local,1250,6.83
Local,1250,6.82
Local,1250,6.83
Local,1250,6.82
Local,1250,6.82
Random,1250,5.52
Random,1250,5.52
Random,1250,5.55
Random,1250,5.55
Random,1250,5.54
Random,1250,5.54
Random,1250,5.56
Random,1250,5.57
Random,1250,5.53
Random,1250,5.53
Greedy,1250,2.81
Greedy,1250,2.81
Greedy,1250,2.81
Greedy,1250,2.81
Greedy,1250,2.81
Greedy,1250,2.81
Greedy,1250,2.81
Greedy,1250,2.81
Greedy,1250,2.81

Greedy,1250,2.81
