


Strategy,Vehicles count,Log Total Energy 
GTA-V,250,2.66
GTA-V,250,2.67
GTA-V,250,2.66
GTA-V,250,2.67
GTA-V,250,2.67
GTA-V,250,2.65
GTA-V,250,2.66
GTA-V,250,2.65
GTA-V,250,2.66
GTA-V,250,2.66
DECO,250,2.24
DECO,250,2.24
DECO,250,2.24
DECO,250,2.24
DECO,250,2.24
DECO,250,2.24
DECO,250,2.24
DECO,250,2.24
DECO,250,2.24
DECO,250,2.24
Local,250,6.19
Local,250,6.19
Local,250,6.19
Local,250,6.19
Local,250,6.2
Local,250,6.2
Local,250,6.2
Local,250,6.21
Local,250,6.2
Local,250,6.2
Random,250,5.14
Random,250,5.17
Random,250,5.19
Random,250,5.23
Random,250,5.21
Random,250,5.16
Random,250,5.18
Random,250,5.2
Random,250,5.26
Random,250,5.13
Greedy,250,2.24
Greedy,250,2.24
Greedy,250,2.24
Greedy,250,2.24
Greedy,250,2.24
Greedy,250,2.24
Greedy,250,2.24
Greedy,250,2.24
Greedy,250,2.24
Greedy,250,2.24
GTA-V,500,2.83
GTA-V,500,2.82
GTA-V,500,2.83
GTA-V,500,2.83
GTA-V,500,2.82
GTA-V,500,2.83
GTA-V,500,2.83
GTA-V,500,2.83
GTA-V,500,2.83
GTA-V,500,2.83
DECO,500,2.31
DECO,500,2.31
DECO,500,2.31
DECO,500,2.31
DECO,500,2.31
DECO,500,2.31
DECO,500,2.31
DECO,500,2.31
DECO,500,2.31
DECO,500,2.31
Local,500,6.56
Local,500,6.56
Local,500,6.57
Local,500,6.57
Local,500,6.56
Local,500,6.57
Local,500,6.58
Local,500,6.57
Local,500,6.56
Local,500,6.56
Random,500,5.45
Random,500,5.49
Random,500,5.48
Random,500,5.44
Random,500,5.49
Random,500,5.47
Random,500,5.44
Random,500,5.52
Random,500,5.45
Random,500,5.47
Greedy,500,2.31
Greedy,500,2.31
Greedy,500,2.31
Greedy,500,2.31
Greedy,500,2.31
Greedy,500,2.31
Greedy,500,2.31
Greedy,500,2.31
Greedy,500,2.31
Greedy,500,2.31
GTA-V,750,2.92
GTA-V,750,2.92
GTA-V,750,2.91
GTA-V,750,2.91
GTA-V,750,2.92
GTA-V,750,2.91
GTA-V,750,2.92
GTA-V,750,2.92
GTA-V,750,2.93
GTA-V,750,2.92
DECO,750,2.37
DECO,750,2.37
DECO,750,2.37
DECO,750,2.37
DECO,750,2.36
DECO,750,2.37
DECO,750,2.36
DECO,750,2.36
DECO,750,2.36
DECO,750,2.36
Local,750,6.8
Local,750,6.8
Local,750,6.8
Local,750,6.8
Local,750,6.8
Local,750,6.8
Local,750,6.8
Local,750,6.8
Local,750,6.81
Local,750,6.8
Random,750,5.63
Random,750,5.6
Random,750,5.64
Random,750,5.62
Random,750,5.63
Random,750,5.64
Random,750,5.63
Random,750,5.63
Random,750,5.63
Random,750,5.59
Greedy,750,2.36
Greedy,750,2.37
Greedy,750,2.36
Greedy,750,2.36
Greedy,750,2.37
Greedy,750,2.36
Greedy,750,2.36
Greedy,750,2.36
Greedy,750,2.36
Greedy,750,2.36
GTA-V,1000,2.94
GTA-V,1000,2.94
GTA-V,1000,2.94
GTA-V,1000,2.94
GTA-V,1000,2.94
GTA-V,1000,2.95
GTA-V,1000,2.93
GTA-V,1000,2.94
GTA-V,1000,2.94
DECO,1000,2.42
DECO,1000,2.42
DECO,1000,2.42
DECO,1000,2.42
DECO,1000,2.42
DECO,1000,2.42
DECO,1000,2.42
DECO,1000,2.42
DECO,1000,2.42
DECO,1000,2.42
Local,1000,6.98
Local,1000,6.98
Local,1000,6.98
Local,1000,6.98
Local,1000,6.98
Local,1000,6.98
Local,1000,6.98
Local,1000,6.98
Local,1000,6.98
Local,1000,6.98
Random,1000,5.7
Random,1000,5.75
Random,1000,5.75
Random,1000,5.76
Random,1000,5.73
Random,1000,5.74
Random,1000,5.77
Random,1000,5.73
Random,1000,5.78
Random,1000,5.78
Greedy,1000,2.42
Greedy,1000,2.42
Greedy,1000,2.42
Greedy,1000,2.42
Greedy,1000,2.42
Greedy,1000,2.42
Greedy,1000,2.42
Greedy,1000,2.42
Greedy,1000,2.42
Greedy,1000,2.42
GTA-V,1250,3.01
GTA-V,1250,3
GTA-V,1250,3
GTA-V,1250,3.01
GTA-V,1250,3.01
GTA-V,1250,3
GTA-V,1250,2.99
GTA-V,1250,3
GTA-V,1250,3.01
GTA-V,1250,3
DECO,1250,2.46
DECO,1250,2.46
DECO,1250,2.46
DECO,1250,2.46
DECO,1250,2.46
DECO,1250,2.46
DECO,1250,2.46
DECO,1250,2.46
DECO,1250,2.46
DECO,1250,2.46
Local,1250,7.12
Local,1250,7.12
Local,1250,7.12
Local,1250,7.12
Local,1250,7.12
Local,1250,7.12
Local,1250,7.12
Local,1250,7.12
Local,1250,7.12
Local,1250,7.12
Random,1250,5.81
Random,1250,5.82
Random,1250,5.84
Random,1250,5.85
Random,1250,5.84
Random,1250,5.84
Random,1250,5.85
Random,1250,5.86
Random,1250,5.82
Random,1250,5.83
Greedy,1250,2.46
Greedy,1250,2.46
Greedy,1250,2.46
Greedy,1250,2.46
Greedy,1250,2.46
Greedy,1250,2.46
Greedy,1250,2.46
Greedy,1250,2.46
Greedy,1250,2.46

Greedy,1250,2.46
