Strategy,Vehicles count,Total Latency (S)
GTA-V,250,3.82
GTA-V,250,3.85
GTA-V,250,3.82
GTA-V,250,3.83
GTA-V,250,3.81
GTA-V,250,3.82
GTA-V,250,3.83
GTA-V,250,3.8
GTA-V,250,3.81
GTA-V,250,3.82
DECO,250,2.78
DECO,250,2.78
DECO,250,2.78
DECO,250,2.78
DECO,250,2.78
DECO,250,2.78
DECO,250,2.78
DECO,250,2.78
DECO,250,2.78
DECO,250,2.78
Local,250,4.36
Local,250,4.35
Local,250,4.35
Local,250,4.36
Local,250,4.35
Local,250,4.36
Local,250,4.36
Local,250,4.36
Local,250,4.36
Local,250,4.36
Random,250,3.44
Random,250,3.44
Random,250,3.48
Random,250,3.5
Random,250,3.48
Random,250,3.45
Random,250,3.46
Random,250,3.47
Random,250,3.54
Random,250,3.43
Greedy,250,2.78
Greedy,250,2.78
Greedy,250,2.78
Greedy,250,2.78
Greedy,250,2.78
Greedy,250,2.78
Greedy,250,2.78
Greedy,250,2.78
Greedy,250,2.78
Greedy,250,2.78
GTA-V,500,4.13
GTA-V,500,4.12
GTA-V,500,4.14
GTA-V,500,4.13
GTA-V,500,4.13
GTA-V,500,4.14
GTA-V,500,4.13
GTA-V,500,4.15
GTA-V,500,4.14
GTA-V,500,4.13
DECO,500,2.84
DECO,500,2.84
DECO,500,2.84
DECO,500,2.84
DECO,500,2.84
DECO,500,2.84
DECO,500,2.84
DECO,500,2.84
DECO,500,2.84
DECO,500,2.84
Local,500,4.73
Local,500,4.73
Local,500,4.73
Local,500,4.72
Local,500,4.73
Local,500,4.72
Local,500,4.73
Local,500,4.72
Local,500,4.72
Local,500,4.72
Random,500,3.74
Random,500,3.77
Random,500,3.76
Random,500,3.73
Random,500,3.77
Random,500,3.76
Random,500,3.72
Random,500,3.79
Random,500,3.73
Random,500,3.74
Greedy,500,2.84
Greedy,500,2.84
Greedy,500,2.84
Greedy,500,2.84
Greedy,500,2.84
Greedy,500,2.84
Greedy,500,2.84
Greedy,500,2.84
Greedy,500,2.84
Greedy,500,2.84
GTA-V,750,4.33
GTA-V,750,4.31
GTA-V,750,4.3
GTA-V,750,4.29
GTA-V,750,4.3
GTA-V,750,4.31
GTA-V,750,4.32
GTA-V,750,4.33
GTA-V,750,4.32
GTA-V,750,4.32
DECO,750,2.9
DECO,750,2.9
DECO,750,2.9
DECO,750,2.9
DECO,750,2.9
DECO,750,2.9
DECO,750,2.9
DECO,750,2.9
DECO,750,2.9
DECO,750,2.9
Local,750,4.96
Local,750,4.96
Local,750,4.96
Local,750,4.96
Local,750,4.96
Local,750,4.96
Local,750,4.96
Local,750,4.96
Local,750,4.96
Local,750,4.96
Random,750,3.91
Random,750,3.89
Random,750,3.92
Random,750,3.91
Random,750,3.91
Random,750,3.92
Random,750,3.92
Random,750,3.91
Random,750,3.92
Random,750,3.89
Greedy,750,2.9
Greedy,750,2.9
Greedy,750,2.9
Greedy,750,2.9
Greedy,750,2.9
Greedy,750,2.9
Greedy,750,2.9
Greedy,750,2.9
Greedy,750,2.9
Greedy,750,2.9
GTA-V,1000,4.45
GTA-V,1000,4.46
GTA-V,1000,4.42
GTA-V,1000,4.43
GTA-V,1000,4.45
GTA-V,1000,4.45
GTA-V,1000,4.44
GTA-V,1000,4.43
GTA-V,1000,4.46
GTA-V,1000,4.43
DECO,1000,2.95
DECO,1000,2.95
DECO,1000,2.95
DECO,1000,2.95
DECO,1000,2.95
DECO,1000,2.95
DECO,1000,2.95
DECO,1000,2.95
DECO,1000,2.95
DECO,1000,2.95
Local,1000,5.14
Local,1000,5.13
Local,1000,5.14
Local,1000,5.14
Local,1000,5.14
Local,1000,5.14
Local,1000,5.14
Local,1000,5.14
Local,1000,5.14
Local,1000,5.14
Random,1000,3.97
Random,1000,4.02
Random,1000,4.03
Random,1000,4.02
Random,1000,4
Random,1000,4.02
Random,1000,4.04
Random,1000,3.99
Random,1000,4.04
Random,1000,4.04
Greedy,1000,2.95
Greedy,1000,2.95
Greedy,1000,2.95
Greedy,1000,2.95
Greedy,1000,2.95
Greedy,1000,2.95
Greedy,1000,2.95
Greedy,1000,2.95
Greedy,1000,2.95
Greedy,1000,2.95
GTA-V,1250,4.55
GTA-V,1250,4.54
GTA-V,1250,4.53
GTA-V,1250,4.55
GTA-V,1250,4.55
GTA-V,1250,4.54
GTA-V,1250,4.53
GTA-V,1250,4.54
GTA-V,1250,4.55
GTA-V,1250,4.54
DECO,1250,3
DECO,1250,3
DECO,1250,3
DECO,1250,3
DECO,1250,3
DECO,1250,3
DECO,1250,3
DECO,1250,3
DECO,1250,3
DECO,1250,3
Local,1250,5.28
Local,1250,5.28
Local,1250,5.28
Local,1250,5.28
Local,1250,5.28
Local,1250,5.28
Local,1250,5.28
Local,1250,5.28
Local,1250,5.28
Local,1250,5.28
Random,1250,4.09
Random,1250,4.09
Random,1250,4.11
Random,1250,4.11
Random,1250,4.11
Random,1250,4.11
Random,1250,4.12
Random,1250,4.12
Random,1250,4.09
Random,1250,4.1
Greedy,1250,3
Greedy,1250,3
Greedy,1250,3
Greedy,1250,3
Greedy,1250,3
Greedy,1250,3
Greedy,1250,3
Greedy,1250,3
Greedy,1250,3

Greedy,1250,3

