Strategy,Vehicles count,Satisfaction Ratio
Proposed,250,84.19
Proposed,250,85.63
Proposed,250,84.51
Proposed,250,82.89
Proposed,250,80.7
Proposed,250,82.73
Proposed,250,83.52
Proposed,250,79.35
Proposed,250,81
Proposed,250,81.41
DECO,250,26.91
DECO,250,27.3
DECO,250,27.2
DECO,250,26.49
DECO,250,26.43
DECO,250,26.66
DECO,250,27.41
DECO,250,26.52
DECO,250,27.14
DECO,250,26.35
Local,250,74.45
Local,250,74.87
Local,250,76.24
Local,250,73.48
Local,250,76.31
Local,250,79.22
Local,250,75.08
Local,250,79.46
Local,250,76.73
Local,250,77.77
Random,250,31.73
Random,250,28.99
Random,250,32.58
Random,250,32.73
Random,250,28.32
Random,250,28.1
Random,250,31.02
Random,250,30.26
Random,250,33.22
Random,250,30.5
Greedy,250,26.18
Greedy,250,26.51
Greedy,250,26.95
Greedy,250,26.86
Greedy,250,27.37
Greedy,250,27.9
Greedy,250,26.22
Greedy,250,26.55
Greedy,250,26.21
Greedy,250,26.82
Proposed,500,59.54
Proposed,500,58.17
Proposed,500,61.87
Proposed,500,60.86
Proposed,500,60.27
Proposed,500,61.67
Proposed,500,58.78
Proposed,500,62.24
Proposed,500,60.94
Proposed,500,58.72
DECO,500,13.62
DECO,500,13.51
DECO,500,13.7
DECO,500,13.41
DECO,500,13.68
DECO,500,13.96
DECO,500,13.58
DECO,500,13.95
DECO,500,13.65
DECO,500,13.55
Local,500,76.81
Local,500,76.63
Local,500,79.04
Local,500,77.65
Local,500,78.91
Local,500,79.67
Local,500,79.22
Local,500,78.53
Local,500,74.87
Local,500,77.45
Random,500,25.55
Random,500,27.15
Random,500,26.93
Random,500,25.48
Random,500,26.85
Random,500,26.1
Random,500,24.66
Random,500,28.92
Random,500,25.74
Random,500,24.51
Greedy,500,13.78
Greedy,500,13.86
Greedy,500,13.79
Greedy,500,13.59
Greedy,500,13.85
Greedy,500,13.29
Greedy,500,13.5
Greedy,500,13.7
Greedy,500,13.5
Greedy,500,13.9
Proposed,750,47.44
Proposed,750,47.46
Proposed,750,46.08
Proposed,750,45.45
Proposed,750,47.22
Proposed,750,46.09
Proposed,750,47.57
Proposed,750,48.7
Proposed,750,48.34
Proposed,750,47.74
DECO,750,8.81
DECO,750,9.28
DECO,750,9.48
DECO,750,8.89
DECO,750,9.04
DECO,750,9.13
DECO,750,9.07
DECO,750,9.02
DECO,750,9.03
DECO,750,9.06
Local,750,77.06
Local,750,77.58
Local,750,76.89
Local,750,78.15
Local,750,78.11
Local,750,76.58
Local,750,77.88
Local,750,77.08
Local,750,77.42
Local,750,78.05
Random,750,20.53
Random,750,21.6
Random,750,22.34
Random,750,21.71
Random,750,22.6
Random,750,21.94
Random,750,21.92
Random,750,21.04
Random,750,22.18
Random,750,21.28
Greedy,750,8.97
Greedy,750,9
Greedy,750,8.95
Greedy,750,8.83
Greedy,750,9.11
Greedy,750,9.01
Greedy,750,8.96
Greedy,750,9.17
Greedy,750,9.21
Greedy,750,9.16
Proposed,1000,37.67
Proposed,1000,38.36
Proposed,1000,36.27
Proposed,1000,36.32
Proposed,1000,37.86
Proposed,1000,38.13
Proposed,1000,38
Proposed,1000,36.55
Proposed,1000,38.97
Proposed,1000,36.83
DECO,1000,6.87
DECO,1000,6.97
DECO,1000,6.84
DECO,1000,6.76
DECO,1000,6.89
DECO,1000,6.79
DECO,1000,6.7
DECO,1000,6.89
DECO,1000,6.8
DECO,1000,6.89
Local,1000,76.53
Local,1000,78.06
Local,1000,77.26
Local,1000,76.84
Local,1000,76.84
Local,1000,79.21
Local,1000,77.78
Local,1000,78.41
Local,1000,78.18
Local,1000,76.44
Random,1000,16.33
Random,1000,17.1
Random,1000,18.06
Random,1000,16.9
Random,1000,18.14
Random,1000,17.2
Random,1000,17.83
Random,1000,16.81
Random,1000,18.23
Random,1000,17.81
Greedy,1000,6.8
Greedy,1000,6.96
Greedy,1000,6.6
Greedy,1000,6.79
Greedy,1000,6.86
Greedy,1000,6.76
Greedy,1000,6.67
Greedy,1000,6.84
Greedy,1000,6.83
Greedy,1000,6.85
Proposed,1250,33.24
Proposed,1250,32.7
Proposed,1250,31.52
Proposed,1250,33.33
Proposed,1250,33.02
Proposed,1250,32.7
Proposed,1250,31.91
Proposed,1250,32.47
Proposed,1250,33.5
Proposed,1250,32.24
DECO,1250,5.37
DECO,1250,5.42
DECO,1250,5.47
DECO,1250,5.35
DECO,1250,5.28
DECO,1250,5.44
DECO,1250,5.41
DECO,1250,5.41
DECO,1250,5.49
DECO,1250,5.38
Local,1250,77.24
Local,1250,76.59
Local,1250,77.73
Local,1250,78.12
Local,1250,77.96
Local,1250,76.8
Local,1250,77.34
Local,1250,77.09
Local,1250,77.54
Local,1250,76.62
Random,1250,15.2
Random,1250,15.62
Random,1250,15.33
Random,1250,15.71
Random,1250,15.83
Random,1250,15.54
Random,1250,16.28
Random,1250,15.36
Random,1250,15.38
Random,1250,15.03
Greedy,1250,5.47
Greedy,1250,5.51
Greedy,1250,5.41
Greedy,1250,5.49
Greedy,1250,5.33
Greedy,1250,5.41
Greedy,1250,5.43
Greedy,1250,5.39
Greedy,1250,5.42
Greedy,1250,5.41
