strategy	NUM_VEHICLES	SIM_TIME	total_tasks_generated	completed_tasks	failed_tasks	average_latency_seconds	total_energy_joules	total_latency_seconds	run_iteration
Greedy	500	175	6805	938	0	0.744603085166697	202.8054759281147	698.4376938863618	1
Greedy	500	175	6773	939	0	0.7433814559002295	202.6929854767224	698.0351870903155	2
Greedy	500	175	6699	924	0	0.7547296805623382	202.4923672710821	697.3702248396005	3
Greedy	500	175	6771	920	0	0.7593610464287239	202.84947662190297	698.6121627144261	4
Greedy	500	175	6701	928	0	0.7510232789700394	202.36539762607853	696.9496028841966	5
Greedy	500	175	6720	893	0	0.7818627615970458	202.7270197790491	698.2034461061619	6
Greedy	500	175	6842	924	0	0.7554959643707827	202.68576812563384	698.0782710786032	7
Greedy	500	175	6666	913	0	0.7646944910391409	202.7230538255388	698.1660703187356	8
Greedy	500	175	6756	912	0	0.7652720614914922	202.6352980564446	697.9281200802409	9
Greedy	500	175	6819	948	0	0.7377689714455243	203.08070489005277	699.404984930357	10
