strategy	NUM_VEHICLES	SIM_TIME	total_tasks_generated	completed_tasks	failed_tasks	average_latency_seconds	total_energy_joules	total_latency_seconds	run_iteration
Local	500	175	6805	5227	1510	7.882731318799265	3671506.796845516	53105.96089475065	1
Local	500	175	6773	5190	1549	7.931219565855307	3664135.41918778	53448.48865429891	2
Local	500	175	6699	5295	1470	7.853826764124501	3677098.797107132	53131.13805930225	3
Local	500	175	6771	5258	1543	7.783785393924489	3696880.802687892	52937.52446408045	4
Local	500	175	6701	5288	1499	7.825689534144445	3672748.359783844	53112.95486823835	5
Local	500	175	6720	5354	1471	7.752342478838974	3691526.439373987	52909.737418076	6
Local	500	175	6842	5420	1479	7.723891538327427	3758442.71872488	53287.12772292092	7
Local	500	175	6666	5235	1562	7.804546636786706	3691078.875244419	53047.50349023924	8
Local	500	175	6756	5058	1580	7.993939190738173	3648657.274423892	53063.76834811999	9
Local	500	175	6819	5281	1510	7.752462305787928	3669836.989349854	52646.97151860582	10
