strategy	NUM_VEHICLES	SIM_TIME	total_tasks_generated	completed_tasks	failed_tasks	average_latency_seconds	total_energy_joules	total_latency_seconds	run_iteration
Proposed	1000	225	17499	6591	0	4.262404149383444	876.772182791962	28093.50574858628	1
Proposed	1000	225	17305	6639	0	4.295818518129288	881.352859078356	28519.93914186034	2
Proposed	1000	225	17393	6308	0	4.148007271261353	861.2364883361051	26165.62986711661	3
Proposed	1000	225	17460	6341	0	4.267749580441852	865.328073158928	27061.800089581782	4
Proposed	1000	225	17342	6565	0	4.258202259841969	871.9713702650307	27955.097835862525	5
Proposed	1000	225	17347	6615	0	4.265173010867163	877.9169599939955	28214.119466886284	6
Proposed	1000	225	17428	6623	0	4.190410429718469	882.480133444501	27753.088276025417	7
Proposed	1000	225	17312	6327	0	4.240960143735274	857.5562017133158	26832.55482941308	8
Proposed	1000	225	17309	6745	0	4.242510964706304	878.9497169374438	28615.73645694402	9
Proposed	1000	225	17467	6433	0	4.2297004662266335	870.1470158847219	27209.66309923593	10
