strategy,NUM_VEHICLES,SIM_TIME,total_tasks_generated,completed_tasks,failed_tasks,average_latency_seconds,total_energy_joules,total_latency_seconds,run_iteration
Proposed,1000,225,17499,6591,0,4.262404149383444,876.772182791962,28093.50574858628,1
DECO,1000,225,17499,1203,0,0.7457451033318095,260.4344329404589,897.1313593081669,1
Local,1000,225,17499,13392,3930,7.884618195811729,9477210.897004895,136577.35638785077,1
Random,1000,225,17499,2858,214,3.0685491863684455,506217.0366001895,9426.583100523865,1
Greedy,1000,225,17499,1190,0,0.7541855931558008,260.5422682078871,897.480855855403,1
Proposed,1000,225,17305,6639,0,4.295818518129288,881.352859078356,28519.93914186034,2
DECO,1000,225,17305,1207,0,0.7438978091847328,260.6588804650895,897.8846556859725,2
Local,1000,225,17305,13508,3881,7.811494305010879,9479450.379230514,135834.0744698342,2
Random,1000,225,17305,2959,252,3.2461032200961797,566136.4641508531,10423.237439728833,2
Greedy,1000,225,17305,1205,0,0.7448741537558567,260.5678297883228,897.5733552758074,2
Proposed,1000,225,17393,6308,0,4.148007271261353,861.2364883361051,26165.629867116615,3
DECO,1000,225,17393,1190,0,0.7547727054130338,260.73667093871995,898.1795194415101,3
Local,1000,225,17393,13438,3976,7.917361045436405,9502326.720335098,137872.92524522956,3
Random,1000,225,17393,3142,250,3.148403002198838,567370.2988492181,10679.38298345846,3
Greedy,1000,225,17393,1148,0,0.7819988725003942,260.6091149252154,897.7347056304526,3
Proposed,1000,225,17460,6341,0,4.267749580441852,865.328073158928,27061.800089581786,4
DECO,1000,225,17460,1180,0,0.7613752819792108,260.81380211515693,898.4228327354688,4
Local,1000,225,17460,13416,3932,7.889463452636509,9484377.1543637,136866.41197633816,4
Random,1000,225,17460,2951,256,3.2604469909656966,570064.4866956262,10456.253500026989,4
Greedy,1000,225,17460,1185,0,0.7583309222522885,260.8687453409779,898.6221428689619,4
Proposed,1000,225,17342,6565,0,4.258202259841969,871.9713702650307,27955.097835862525,5
DECO,1000,225,17342,1195,0,0.7520414408575108,260.87732686664066,898.6895218247254,5
Local,1000,225,17342,13325,3974,7.9192067013259475,9452351.2436728,136994.35672623757,5
Random,1000,225,17342,3146,219,2.971817056876182,540993.056157071,10000.164396388353,5
Greedy,1000,225,17342,1189,0,0.7552182589086124,260.68605013449377,897.9545098423401,5
Proposed,1000,225,17347,6615,0,4.265173010867163,877.9169599939955,28214.119466886284,6
DECO,1000,225,17347,1178,0,0.7623667822670134,260.71105715101834,898.0680695105418,6
Local,1000,225,17347,13741,3816,7.7765795787544985,9587502.484177701,136533.40766419272,6
Random,1000,225,17347,2983,263,3.2377022252855605,555839.7046110313,10509.58142327693,6
Greedy,1000,225,17347,1172,0,0.7662207994401365,260.6968635013367,898.01077694384,6
Proposed,1000,225,17428,6623,0,4.190410429718469,882.480133444501,27753.088276025417,7
DECO,1000,225,17428,1167,0,0.7696017941437177,260.7219872804843,898.1252937657185,7
Local,1000,225,17428,13556,3906,7.840827262212167,9552256.50217221,136916.52565274885,7
Random,1000,225,17428,3107,275,3.2611547078959293,589854.208932187,11029.225222104033,7
Greedy,1000,225,17428,1163,0,0.7720298993271996,260.65786248369216,897.8707729175331,7
Proposed,1000,225,17312,6327,0,4.240960143735274,857.5562017133158,26832.55482941308,8
DECO,1000,225,17312,1192,0,0.75378578549316,260.8338007235777,898.5126563078468,8
Local,1000,225,17312,13574,3943,7.816463265704384,9599698.476554979,136920.9870253437,8
Random,1000,225,17312,2910,232,3.138197335283939,533683.0383518868,9860.216027462136,8
Greedy,1000,225,17312,1185,0,0.7583819760910943,260.8749535949039,898.6826416679467,8
Proposed,1000,225,17309,6745,0,4.242510964706304,878.9497169374438,28615.73645694402,9
DECO,1000,225,17309,1177,0,0.7626183068958906,260.5729489848427,897.6017472164633,9
Local,1000,225,17309,13533,3955,7.848067515324611,9505445.026892032,137247.0047079968,9
Random,1000,225,17309,3156,230,3.2286676416728364,600114.9075260473,10932.268634704224,9
Greedy,1000,225,17309,1182,0,0.7591432336523695,260.4893954100899,897.3073021771007,9
Proposed,1000,225,17467,6433,0,4.2297004662266335,870.1470158847219,27209.663099235935,10
DECO,1000,225,17467,1203,0,0.7465997709299539,260.7339431912245,898.1595244287345,10
Local,1000,225,17467,13352,4011,7.913200815538335,9448506.222360786,137396.9057601921,10
Random,1000,225,17467,3110,258,3.2862689214512035,605892.187851938,11068.153727447654,10
Greedy,1000,225,17467,1197,0,0.7509711660981725,260.95581932936693,898.9124858195125,10
