Strategy,Vehicles count,"Cost (0.7, 0.3)"
GTA-V,250,3.68
GTA-V,250,3.71
GTA-V,250,3.68
GTA-V,250,3.69
GTA-V,250,3.67
GTA-V,250,3.68
GTA-V,250,3.68
GTA-V,250,3.66
GTA-V,250,3.66
GTA-V,250,3.68
DECO,250,2.67
DECO,250,2.67
DECO,250,2.67
DECO,250,2.67
DECO,250,2.67
DECO,250,2.67
DECO,250,2.67
DECO,250,2.67
DECO,250,2.67
DECO,250,2.67
Local,250,5.68
Local,250,5.68
Local,250,5.68
Local,250,5.68
Local,250,5.69
Local,250,5.69
Local,250,5.69
Local,250,5.7
Local,250,5.69
Local,250,5.7
Random,250,4.63
Random,250,4.66
Random,250,4.69
Random,250,4.73
Random,250,4.7
Random,250,4.65
Random,250,4.67
Random,250,4.69
Random,250,4.76
Random,250,4.63
Greedy,250,2.67
Greedy,250,2.67
Greedy,250,2.67
Greedy,250,2.67
Greedy,250,2.67
Greedy,250,2.67
Greedy,250,2.67
Greedy,250,2.67
Greedy,250,2.67
Greedy,250,2.67
GTA-V,500,3.98
GTA-V,500,3.97
GTA-V,500,4
GTA-V,500,3.99
GTA-V,500,3.98
GTA-V,500,3.99
GTA-V,500,3.99
GTA-V,500,4
GTA-V,500,4
GTA-V,500,3.98
DECO,500,2.74
DECO,500,2.74
DECO,500,2.74
DECO,500,2.74
DECO,500,2.74
DECO,500,2.74
DECO,500,2.74
DECO,500,2.74
DECO,500,2.74
DECO,500,2.74
Local,500,6.06
Local,500,6.06
Local,500,6.06
Local,500,6.06
Local,500,6.06
Local,500,6.06
Local,500,6.07
Local,500,6.06
Local,500,6.05
Local,500,6.06
Random,500,4.95
Random,500,4.99
Random,500,4.98
Random,500,4.94
Random,500,4.99
Random,500,4.97
Random,500,4.93
Random,500,5.01
Random,500,4.94
Random,500,4.97
Greedy,500,2.74
Greedy,500,2.74
Greedy,500,2.74
Greedy,500,2.74
Greedy,500,2.74
Greedy,500,2.74
Greedy,500,2.74
Greedy,500,2.74
Greedy,500,2.74
Greedy,500,2.74
GTA-V,750,4.18
GTA-V,750,4.17
GTA-V,750,4.15
GTA-V,750,4.14
GTA-V,750,4.16
GTA-V,750,4.16
GTA-V,750,4.17
GTA-V,750,4.18
GTA-V,750,4.17
GTA-V,750,4.17
DECO,750,2.8
DECO,750,2.8
DECO,750,2.8
DECO,750,2.8
DECO,750,2.8
DECO,750,2.8
DECO,750,2.8
DECO,750,2.8
DECO,750,2.8
DECO,750,2.8
Local,750,6.29
Local,750,6.29
Local,750,6.29
Local,750,6.29
Local,750,6.3
Local,750,6.29
Local,750,6.29
Local,750,6.29
Local,750,6.3
Local,750,6.29
Random,750,5.13
Random,750,5.1
Random,750,5.13
Random,750,5.12
Random,750,5.13
Random,750,5.14
Random,750,5.12
Random,750,5.13
Random,750,5.13
Random,750,5.09
Greedy,750,2.8
Greedy,750,2.8
Greedy,750,2.8
Greedy,750,2.8
Greedy,750,2.8
Greedy,750,2.8
Greedy,750,2.8
Greedy,750,2.8
Greedy,750,2.8
Greedy,750,2.8
GTA-V,1000,4.3
GTA-V,1000,4.31
GTA-V,1000,4.27
GTA-V,1000,4.28
GTA-V,1000,4.3
GTA-V,1000,4.3
GTA-V,1000,4.29
GTA-V,1000,4.28
GTA-V,1000,4.31
GTA-V,1000,4.29
DECO,1000,2.85
DECO,1000,2.85
DECO,1000,2.85
DECO,1000,2.85
DECO,1000,2.85
DECO,1000,2.85
DECO,1000,2.85
DECO,1000,2.85
DECO,1000,2.85
DECO,1000,2.85
Local,1000,6.47
Local,1000,6.47
Local,1000,6.47
Local,1000,6.47
Local,1000,6.47
Local,1000,6.47
Local,1000,6.47
Local,1000,6.47
Local,1000,6.47
Local,1000,6.47
Random,1000,5.2
Random,1000,5.25
Random,1000,5.25
Random,1000,5.25
Random,1000,5.23
Random,1000,5.24
Random,1000,5.27
Random,1000,5.22
Random,1000,5.27
Random,1000,5.28
Greedy,1000,2.85
Greedy,1000,2.85
Greedy,1000,2.85
Greedy,1000,2.85
Greedy,1000,2.85
Greedy,1000,2.85
Greedy,1000,2.85
Greedy,1000,2.85
Greedy,1000,2.85
Greedy,1000,2.85
GTA-V,1250,4.4
GTA-V,1250,4.39
GTA-V,1250,4.38
GTA-V,1250,4.4
GTA-V,1250,4.4
GTA-V,1250,4.39
GTA-V,1250,4.38
GTA-V,1250,4.39
GTA-V,1250,4.4
GTA-V,1250,4.39
DECO,1250,2.9
DECO,1250,2.9
DECO,1250,2.9
DECO,1250,2.9
DECO,1250,2.9
DECO,1250,2.9
DECO,1250,2.9
DECO,1250,2.9
DECO,1250,2.9
DECO,1250,2.9
Local,1250,6.61
Local,1250,6.61
Local,1250,6.61
Local,1250,6.61
Local,1250,6.61
Local,1250,6.61
Local,1250,6.61
Local,1250,6.61
Local,1250,6.61
Local,1250,6.61
Random,1250,5.31
Random,1250,5.31
Random,1250,5.34
Random,1250,5.34
Random,1250,5.33
Random,1250,5.33
Random,1250,5.35
Random,1250,5.35
Random,1250,5.31
Random,1250,5.32
Greedy,1250,2.89
Greedy,1250,2.9
Greedy,1250,2.9
Greedy,1250,2.9
Greedy,1250,2.9
Greedy,1250,2.9
Greedy,1250,2.9
Greedy,1250,2.9
Greedy,1250,2.9

Greedy,1250,2.9
