Strategy,Vehicles count,Total Latency (S)
GTA-V,250,6598.704905
GTA-V,250,7061.026022
GTA-V,250,6649.447065
GTA-V,250,6754.655254
GTA-V,250,6415.879106
GTA-V,250,6620.470167
GTA-V,250,6686.035913
GTA-V,250,6376.467097
GTA-V,250,6401.147199
GTA-V,250,6623.359055
DECO,250,598.5820964
DECO,250,599.0427857
DECO,250,598.1828709
DECO,250,598.2472201
DECO,250,598.0970116
DECO,250,597.7938852
DECO,250,597.5589875
DECO,250,598.5068649
DECO,250,598.1437963
DECO,250,598.3587249
Local,250,22666.33708
Local,250,22635.54073
Local,250,22384.16996
Local,250,22784.80057
Local,250,22554.63519
Local,250,22685.07418
Local,250,22716.79517
Local,250,22820.55162
Local,250,22778.11473
Local,250,22791.9543
Random,250,2729.593376
Random,250,2780.156637
Random,250,3038.843115
Random,250,3196.141562
Random,250,3011.76465
Random,250,2788.162107
Random,250,2880.321719
Random,250,2975.463562
Random,250,3474.939209
Random,250,2703.54773
Greedy,250,598.0886203
Greedy,250,597.617372
Greedy,250,597.8232816
Greedy,250,598.0443548
Greedy,250,596.676926
Greedy,250,598.3099938
Greedy,250,598.3216734
Greedy,250,598.28741
Greedy,250,598.8808003
Greedy,250,597.3165166
GTA-V,500,13421.67949
GTA-V,500,13185.58348
GTA-V,500,13865.5154
GTA-V,500,13568.63986
GTA-V,500,13520.28827
GTA-V,500,13783.3886
GTA-V,500,13560.86982
GTA-V,500,13974.28034
GTA-V,500,13907.09287
GTA-V,500,13379.87119
DECO,500,698.3160078
DECO,500,697.3918487
DECO,500,698.4849112
DECO,500,696.5107451
DECO,500,698.3848893
DECO,500,696.810734
DECO,500,697.9112793
DECO,500,699.2280279
DECO,500,698.2997567
DECO,500,698.6194358
Local,500,53105.96089
Local,500,53448.48865
Local,500,53131.13806
Local,500,52937.52446
Local,500,53112.95487
Local,500,52909.73742
Local,500,53287.12772
Local,500,53047.50349
Local,500,53063.76835
Local,500,52646.97152
Random,500,5554.748295
Random,500,5942.293104
Random,500,5731.910767
Random,500,5413.440285
Random,500,5912.132752
Random,500,5722.10913
Random,500,5203.612335
Random,500,6179.075504
Random,500,5349.187641
Random,500,5526.306511
Greedy,500,698.4376939
Greedy,500,698.0351871
Greedy,500,697.3702248
Greedy,500,698.6121627
Greedy,500,696.9496029
Greedy,500,698.2034461
Greedy,500,698.0782711
Greedy,500,698.1660703
Greedy,500,697.9281201
Greedy,500,699.4049849
GTA-V,750,21280.46634
GTA-V,750,20649.18426
GTA-V,750,20004.40297
GTA-V,750,19354.50096
GTA-V,750,20182.0826
GTA-V,750,20274.24671
GTA-V,750,20861.41435
GTA-V,750,21403.94218
GTA-V,750,20934.04064
GTA-V,750,20664.81226
DECO,750,799.2750689
DECO,750,798.3550373
DECO,750,799.4781193
DECO,750,798.8909261
DECO,750,797.5621466
DECO,750,798.5835756
DECO,750,798.2088392
DECO,750,797.3681368
DECO,750,798.0832894
DECO,750,797.8706062
Local,750,91947.79532
Local,750,91377.53309
Local,750,90847.2324
Local,750,91338.19192
Local,750,91089.5507
Local,750,90802.60615
Local,750,90580.87009
Local,750,91382.38803
Local,750,91724.07112
Local,750,91236.94277
Random,750,8161.453689
Random,750,7762.55765
Random,750,8325.372325
Random,750,8126.186204
Random,750,8179.261688
Random,750,8299.470212
Random,750,8242.668132
Random,750,8107.493979
Random,750,8336.506867
Random,750,7707.301315
Greedy,750,796.8443946
Greedy,750,798.6612905
Greedy,750,797.6916447
Greedy,750,796.9265508
Greedy,750,799.6789489
Greedy,750,797.7053587
Greedy,750,798.0880043
Greedy,750,798.157455
Greedy,750,798.2108417
Greedy,750,797.7726243
GTA-V,1000,28093.50575
GTA-V,1000,28519.93914
GTA-V,1000,26165.62987
GTA-V,1000,27061.80009
GTA-V,1000,27955.09784
GTA-V,1000,28214.11947
GTA-V,1000,27753.08828
GTA-V,1000,26832.55483
GTA-V,1000,28615.73646
GTA-V,1000,27209.6631
DECO,1000,897.1313593
DECO,1000,897.8846557
DECO,1000,898.1795194
DECO,1000,898.4228327
DECO,1000,898.6895218
DECO,1000,898.0680695
DECO,1000,898.1252938
DECO,1000,898.5126563
DECO,1000,897.6017472
DECO,1000,898.1595244
Local,1000,136577.3564
Local,1000,135834.0745
Local,1000,137872.9252
Local,1000,136866.412
Local,1000,136994.3567
Local,1000,136533.4077
Local,1000,136916.5257
Local,1000,136920.987
Local,1000,137247.0047
Local,1000,137396.9058
Random,1000,9426.583101
Random,1000,10423.23744
Random,1000,10679.38298
Random,1000,10456.2535
Random,1000,10000.1644
Random,1000,10509.58142
Random,1000,11029.22522
Random,1000,9860.216027
Random,1000,10932.26863
Random,1000,11068.15373
Greedy,1000,897.4808559
Greedy,1000,897.5733553
Greedy,1000,897.7347056
Greedy,1000,898.6221429
Greedy,1000,897.9545098
Greedy,1000,898.0107769
Greedy,1000,897.8707729
Greedy,1000,898.6826417
Greedy,1000,897.3073022
Greedy,1000,898.9124858
GTA-V,1250,35448.80474
GTA-V,1250,35010.2084
GTA-V,1250,33544.03732
GTA-V,1250,35694.88993
GTA-V,1250,35520.67885
GTA-V,1250,35002.6971
GTA-V,1250,33559.47501
GTA-V,1250,34455.89036
GTA-V,1250,35562.38413
GTA-V,1250,34949.82494
DECO,1250,998.4675527
DECO,1250,998.461567
DECO,1250,998.8215709
DECO,1250,998.0985393
DECO,1250,998.6595586
DECO,1250,997.9925265
DECO,1250,998.7550333
DECO,1250,998.4307248
DECO,1250,998.4446811
DECO,1250,997.660405
Local,1250,189962.7644
Local,1250,190530.6729
Local,1250,189563.1246
Local,1250,189777.7661
Local,1250,189393.3466
Local,1250,189535.4932
Local,1250,189257.5388
Local,1250,190857.4111
Local,1250,189360.6276
Local,1250,191210.6527
Random,1250,12295.32012
Random,1250,12249.54374
Random,1250,12816.59506
Random,1250,13019.57242
Random,1250,12819.50759
Random,1250,12829.81725
Random,1250,13251.68612
Random,1250,13241.91692
Random,1250,12353.67772
Random,1250,12629.61882
Greedy,1250,997.5185037
Greedy,1250,998.2769902
Greedy,1250,998.467604
Greedy,1250,998.1862302
Greedy,1250,998.2895511
Greedy,1250,998.8879307
Greedy,1250,998.08398
Greedy,1250,997.7159322
Greedy,1250,998.6280588

Greedy,1250,998.3756321
