Strategy,Vehicles count,Satisfaction Ratio
GTA-V,250,84.19
GTA-V,250,85.63
GTA-V,250,84.51
GTA-V,250,82.89
GTA-V,250,80.7
GTA-V,250,82.73
GTA-V,250,83.52
GTA-V,250,79.35
GTA-V,250,81
GTA-V,250,81.41
DECO,250,26.91
DECO,250,27.3
DECO,250,27.2
DECO,250,26.49
DECO,250,26.43
DECO,250,26.66
DECO,250,27.41
DECO,250,26.52
DECO,250,27.14
DECO,250,26.35
Local,250,50.21
Local,250,54.08
Local,250,48.63
Local,250,51.14
Local,250,52.59
Local,250,55.59
Local,250,54.95
Local,250,55.41
Local,250,54.58
Local,250,55.7
Random,250,31.73
Random,250,28.99
Random,250,32.58
Random,250,32.73
Random,250,28.32
Random,250,28.1
Random,250,31.02
Random,250,30.26
Random,250,33.22
Random,250,30.5
Greedy,250,26.18
Greedy,250,26.51
Greedy,250,26.95
Greedy,250,26.86
Greedy,250,27.37
Greedy,250,27.9
Greedy,250,26.22
Greedy,250,26.55
Greedy,250,26.21
Greedy,250,26.82
GTA-V,500,59.54
GTA-V,500,58.17
GTA-V,500,61.87
GTA-V,500,60.86
GTA-V,500,60.27
GTA-V,500,61.67
GTA-V,500,58.78
GTA-V,500,62.24
GTA-V,500,60.94
GTA-V,500,58.72
DECO,500,13.62
DECO,500,13.51
DECO,500,13.7
DECO,500,13.41
DECO,500,13.68
DECO,500,13.96
DECO,500,13.58
DECO,500,13.95
DECO,500,13.65
DECO,500,13.55
Local,500,55.68
Local,500,55.88
Local,500,57.08
Local,500,56.03
Local,500,56.07
Local,500,56.21
Local,500,56.37
Local,500,57.34
Local,500,57.53
Local,500,55.37
Random,500,25.55
Random,500,27.15
Random,500,26.93
Random,500,25.48
Random,500,26.85
Random,500,26.1
Random,500,24.66
Random,500,28.92
Random,500,25.74
Random,500,24.51
Greedy,500,13.78
Greedy,500,13.86
Greedy,500,13.79
Greedy,500,13.59
Greedy,500,13.85
Greedy,500,13.29
Greedy,500,13.5
Greedy,500,13.7
Greedy,500,13.5
Greedy,500,13.9
GTA-V,750,47.44
GTA-V,750,47.46
GTA-V,750,46.08
GTA-V,750,45.45
GTA-V,750,47.22
GTA-V,750,46.09
GTA-V,750,47.57
GTA-V,750,48.7
GTA-V,750,48.34
GTA-V,750,47.74
DECO,750,8.81
DECO,750,9.28
DECO,750,9.48
DECO,750,8.89
DECO,750,9.04
DECO,750,9.13
DECO,750,9.07
DECO,750,9.02
DECO,750,9.03
DECO,750,9.06
Local,750,55.39
Local,750,55.57
Local,750,55.77
Local,750,55.65
Local,750,55.83
Local,750,56.69
Local,750,56.11
Local,750,56.12
Local,750,55.47
Local,750,54.63
Random,750,20.53
Random,750,21.6
Random,750,22.34
Random,750,21.71
Random,750,22.6
Random,750,21.94
Random,750,21.92
Random,750,21.04
Random,750,22.18
Random,750,21.28
Greedy,750,8.97
Greedy,750,9
Greedy,750,8.95
Greedy,750,8.83
Greedy,750,9.11
Greedy,750,9.01
Greedy,750,8.96
Greedy,750,9.17
Greedy,750,9.21
Greedy,750,9.16
GTA-V,1000,37.67
GTA-V,1000,38.36
GTA-V,1000,36.27
GTA-V,1000,36.32
GTA-V,1000,37.86
GTA-V,1000,38.13
GTA-V,1000,38
GTA-V,1000,36.55
GTA-V,1000,38.97
GTA-V,1000,36.83
DECO,1000,6.87
DECO,1000,6.97
DECO,1000,6.84
DECO,1000,6.76
DECO,1000,6.89
DECO,1000,6.79
DECO,1000,6.7
DECO,1000,6.89
DECO,1000,6.8
DECO,1000,6.89
Local,1000,55.85
Local,1000,55.67
Local,1000,56.13
Local,1000,56.07
Local,1000,56.39
Local,1000,56.26
Local,1000,56.24
Local,1000,56.33
Local,1000,57.31
Local,1000,55.56
Random,1000,16.33
Random,1000,17.1
Random,1000,18.06
Random,1000,16.9
Random,1000,18.14
Random,1000,17.2
Random,1000,17.83
Random,1000,16.81
Random,1000,18.23
Random,1000,17.81
Greedy,1000,6.8
Greedy,1000,6.96
Greedy,1000,6.6
Greedy,1000,6.79
Greedy,1000,6.86
Greedy,1000,6.76
Greedy,1000,6.67
Greedy,1000,6.84
Greedy,1000,6.83
Greedy,1000,6.85
GTA-V,1250,33.24
GTA-V,1250,32.7
GTA-V,1250,31.52
GTA-V,1250,33.33
GTA-V,1250,33.02
GTA-V,1250,32.7
GTA-V,1250,31.91
GTA-V,1250,32.47
GTA-V,1250,33.5
GTA-V,1250,32.24
DECO,1250,5.37
DECO,1250,5.42
DECO,1250,5.47
DECO,1250,5.35
DECO,1250,5.28
DECO,1250,5.44
DECO,1250,5.41
DECO,1250,5.41
DECO,1250,5.49
DECO,1250,5.38
Local,1250,55.74
Local,1250,55.31
Local,1250,56.59
Local,1250,55.43
Local,1250,55.73
Local,1250,55.87
Local,1250,56.05
Local,1250,55.4
Local,1250,56.78
Local,1250,56.19
Random,1250,15.2
Random,1250,15.62
Random,1250,15.33
Random,1250,15.71
Random,1250,15.83
Random,1250,15.54
Random,1250,16.28
Random,1250,15.36
Random,1250,15.38
Random,1250,15.03
Greedy,1250,5.47
Greedy,1250,5.51
Greedy,1250,5.41
Greedy,1250,5.49
Greedy,1250,5.33
Greedy,1250,5.41
Greedy,1250,5.43
Greedy,1250,5.39
Greedy,1250,5.42

Greedy,1250,5.41
