strategy	NUM_VEHICLES	SIM_TIME	total_tasks_generated	completed_tasks	failed_tasks	average_latency_seconds	total_energy_joules	total_latency_seconds	run_iteration
DECO	1250	250	24180	1299	0	0.7686432276296399	289.97985853991327	998.4675526909024	1
DECO	1250	250	24194	1312	0	0.7610225358074719	289.9901536887568	998.4615669794032	2
DECO	1250	250	24199	1324	0	0.7543969568459045	290.0916461204098	998.8215708639776	3
DECO	1250	250	24132	1291	0	0.7731204797168232	289.8846059131737	998.0985393144188	4
DECO	1250	250	24125	1273	0	0.7844929761544085	290.0655091945644	998.659558644562	5
DECO	1250	250	24265	1320	0	0.7560549443330679	289.8620695765314	997.9925265196496	6
DECO	1250	250	24017	1299	0	0.7688645367741589	290.0913066288073	998.7550332696323	7
DECO	1250	250	24245	1311	0	0.7615795002428417	289.9857182522832	998.4307248183654	8
DECO	1250	250	24176	1328	0	0.7518408743528691	289.991023537892	998.44468114061	9
DECO	1250	250	24175	1300	0	0.7674310807994821	289.77346873701686	997.6604050393266	10
