strategy	NUM_VEHICLES	SIM_TIME	total_tasks_generated	completed_tasks	failed_tasks	average_latency_seconds	total_energy_joules	total_latency_seconds	run_iteration
Local	250	150	2490	1614	868	9.880209751631748	1351780.7092052524	24522.68060355	1
Local	250	150	2485	1597	891	9.848593566068384	1353820.455668424	24503.300792378137	2
Local	250	150	2427	1602	881	9.874810661212411	1347033.3994070482	24519.154871790422	3
Local	250	150	2457	1611	869	9.863475551632668	1341313.2696875469	24461.419368049017	4
Local	250	150	2424	1651	849	9.862002570448285	1352969.612437787	24655.006426120708	5
Local	250	150	2474	1569	895	9.977195356007847	1352362.7530245518	24583.809357203336	6
Local	250	150	2444	1615	859	9.8662540506588	1338338.647267934	24409.112521329876	7
Local	250	150	2467	1556	887	10.00630468452122	1339194.5749158552	24445.402344285343	8
Local	250	150	2480	1616	833	10.030707518649429	1351504.7511479084	24565.20271317245	9
Local	250	150	2506	1613	868	9.870361876620043	1340621.1248685175	24488.36781589433	10
