strategy	NUM_VEHICLES	SIM_TIME	total_tasks_generated	completed_tasks	failed_tasks	average_latency_seconds	total_energy_joules	total_latency_seconds	run_iteration
Random	1250	250	24180	3676	287	3.102528418220054	647862.3664765583	12295.320121406074	1
Random	1250	250	24194	3778	267	3.028317363732148	656218.7199018234	12249.54373629654	2
Random	1250	250	24199	3710	300	3.1961583692366	699048.2153378652	12816.595060638763	3
Random	1250	250	24132	3791	310	3.174731143957974	700060.9834196017	13019.572421371651	4
Random	1250	250	24125	3820	282	3.1251846882645755	685553.3921994498	12819.507591261288	5
Random	1250	250	24265	3771	282	3.1655112881337635	685601.8760118198	12829.817250806143	6
Random	1250	250	24017	3910	319	3.1335271033203425	711619.2689193017	13251.686119941727	7
Random	1250	250	24245	3725	326	3.2688020055101603	723181.3827023313	13241.91692432166	8
Random	1250	250	24176	3719	279	3.0899644111897246	658360.5000811175	12353.67771593652	9
Random	1250	250	24175	3634	315	3.19818151837722	670426.340505716	12629.61881607164	10
