strategy,NUM_VEHICLES,SIM_TIME,total_tasks_generated,completed_tasks,failed_tasks,average_latency_seconds,total_energy_joules,total_latency_seconds,run_iteration
Proposed,750,200,10540,3026,0,3.9689742069974328,479.63287675254014,12010.115950374231,1
DECO,750,200,10540,1022,0,0.7812899094369421,231.89855289057502,798.4782874445548,1
Local,750,200,10540,7448,3094,9.06944047555733,5718211.577491604,95610.04149332538,1
Random,750,200,10540,1722,264,4.300953216567127,440469.2819349057,8541.693088102315,1
Greedy,750,200,10540,1053,0,0.7592780452321636,232.20249981407738,799.5197816294683,1
Proposed,750,200,10601,3049,0,4.100274201880637,478.1958099455517,12501.736041534063,2
DECO,750,200,10601,1032,0,0.7732333160103124,231.75914104242045,797.9767821226425,2
Local,750,200,10601,7382,3125,9.091060272121556,5690097.8213999625,95519.77027918119,2
Random,750,200,10601,1809,236,4.113797141929372,427287.1968481301,8412.715155245565,2
Greedy,750,200,10601,1064,0,0.7491266829883909,231.4981570478949,797.0707906996479,2
Proposed,750,200,10475,3091,0,3.9713438690453393,479.2359262324975,12275.423899219144,3
DECO,750,200,10475,1054,0,0.7567763515891955,231.6743959591975,797.6422745750122,3
Local,750,200,10475,7333,3158,9.15497136640963,5750320.045439353,96044.80460500342,3
Random,750,200,10475,1636,224,4.201926522221667,396897.83643269946,7815.583331332301,3
Greedy,750,200,10475,1035,0,0.7713845034420521,231.875404541151,798.3829610625239,3
Proposed,750,200,10468,3060,0,4.01600870075299,480.59237344614877,12288.98662430415,4
DECO,750,200,10468,1064,0,0.750266159292807,231.84764037069928,798.2831934875467,4
Local,750,200,10468,7327,3208,9.087074190779676,5731868.798091151,95732.32659986388,4
Random,750,200,10468,1841,246,4.242287931661387,453432.9497904128,8853.654913377315,4
Greedy,750,200,10468,1017,0,0.7860070804228425,232.17583192272457,799.3692007900308,4
Proposed,750,200,10581,2993,0,3.993060262018116,474.2894291686489,11951.22936422022,5
DECO,750,200,10581,1042,0,0.766733179633176,232.0246639241232,798.9359731777694,5
Local,750,200,10581,7439,3133,9.11078997208292,5775562.87803367,96319.27158486063,5
Random,750,200,10581,1766,240,4.281393257051637,442698.95687031955,8588.474873645584,5
Greedy,750,200,10581,1017,0,0.784753477757132,231.785581250346,798.0942868790032,5
Proposed,750,200,10552,2935,0,3.926938167395848,472.66011435325026,11525.563521306814,6
DECO,750,200,10552,1060,0,0.752762617801686,231.74254015711188,797.9283748697871,6
Local,750,200,10552,7441,3106,9.12732112933991,5767271.668193756,96265.85595114803,6
Random,750,200,10552,1772,238,4.140605029052087,432189.06782972126,8322.616108394695,6
Greedy,750,200,10552,1041,0,0.7660194429353296,231.58654655259943,797.4262400956782,6
Proposed,750,200,10397,2920,0,3.970234938710829,475.2343145061067,11593.08602103562,7
DECO,750,200,10397,1063,0,0.7509721589291034,231.83690607888292,798.283404941637,7
Local,750,200,10397,7372,3122,9.109200561828164,5713959.834033305,95591.95069582475,7
Random,750,200,10397,1749,245,4.244923774280334,435119.1197325466,8464.378005914987,7
Greedy,750,200,10397,1043,0,0.7690399211163977,233.17270450536537,802.1086377244028,7
Proposed,750,200,10566,3146,0,4.035378179428981,484.323129920624,12695.299752483574,8
DECO,750,200,10566,1055,0,0.7568674579708129,231.89772813983242,798.4951681592077,8
Local,750,200,10566,7466,3179,9.074506820732159,5795512.094055323,96598.12510669383,8
Random,750,200,10566,1674,258,4.374947039159333,439897.846671816,8452.397679655833,8
Greedy,750,200,10566,1040,0,0.7711304369321982,233.21795005659393,801.9756544094861,8
Proposed,750,200,10589,3000,0,4.017494960764221,480.4424147113484,12052.484882292663,9
DECO,750,200,10589,1041,0,0.7658296644866577,231.5237252741241,797.2286807306107,9
Local,750,200,10589,7172,3305,9.21988031306729,5764965.033087977,96596.686040006,9
Random,750,200,10589,1724,258,4.370102440871429,444193.8897858349,8661.543037807172,9
Greedy,750,200,10589,1046,0,0.7629756300385279,231.78899350020197,798.0725090203001,9
Proposed,750,200,10557,3067,0,4.100148966542459,483.18690473596627,12575.156880385723,10
DECO,750,200,10557,1065,0,0.7495398207414141,231.83225437216151,798.259909089606,10
Local,750,200,10557,7432,3145,9.054392371992137,5770375.454928275,95768.30811856083,10
Random,750,200,10557,1757,267,4.413590314240735,465675.59943071066,8933.106796023247,10
Greedy,750,200,10557,1032,0,0.7730003890948377,231.6932279160148,797.7364015458725,10
